,dir_name,image_name,augmentation,soft_max
0,/data3/test_meta_learning/Gen/Source_29_SDXL,448.png,QF40,[0.31193644 0.68806356]
1,/data3/test_meta_learning/Gen/Source_29_SDXL,579.png,QF40,[0.00471222 0.9952878 ]
2,/data3/test_meta_learning/Gen/Source_29_SDXL,498.png,QF40,[0.4694086  0.53059137]
3,/data3/test_meta_learning/Gen/Source_29_SDXL,420.png,QF40,[0.998643 0.001357]
4,/data3/test_meta_learning/Gen/Source_29_SDXL,110.png,QF40,[0.03167249 0.9683275 ]
5,/data3/test_meta_learning/Gen/Source_29_SDXL,207.png,QF40,[0.08747086 0.9125292 ]
6,/data3/test_meta_learning/Gen/Source_29_SDXL,674.png,QF40,[0.99885416 0.00114589]
7,/data3/test_meta_learning/Gen/Source_29_SDXL,701.png,QF40,[0.03226721 0.9677328 ]
8,/data3/test_meta_learning/Gen/Source_29_SDXL,557.png,QF40,[2.0372547e-05 9.9997962e-01]
9,/data3/test_meta_learning/Gen/Source_29_SDXL,583.png,QF40,[5.2636244e-07 9.9999952e-01]
10,/data3/test_meta_learning/Gen/Source_29_SDXL,690.png,QF40,[0.95379174 0.04620822]
11,/data3/test_meta_learning/Gen/Source_29_SDXL,36.png,QF40,[0.0099482 0.9900518]
12,/data3/test_meta_learning/Gen/Source_29_SDXL,65.png,QF40,[0.9967734  0.00322656]
13,/data3/test_meta_learning/Gen/Source_29_SDXL,295.png,QF40,[0.6254834 0.3745166]
14,/data3/test_meta_learning/Gen/Source_29_SDXL,98.png,QF40,[0.9965982  0.00340179]
15,/data3/test_meta_learning/Gen/Source_29_SDXL,276.png,QF40,[9.9982077e-01 1.7928028e-04]
16,/data3/test_meta_learning/Gen/Source_29_SDXL,463.png,QF40,[0.00285377 0.9971462 ]
17,/data3/test_meta_learning/Gen/Source_29_SDXL,428.png,QF40,[9.9958056e-01 4.1949135e-04]
18,/data3/test_meta_learning/Gen/Source_29_SDXL,319.png,QF40,[1.4784565e-04 9.9985218e-01]
19,/data3/test_meta_learning/Gen/Source_29_SDXL,618.png,QF40,[0.5332851  0.46671498]
20,/data3/test_meta_learning/Gen/Source_29_SDXL,697.png,QF40,[0.01636523 0.9836348 ]
21,/data3/test_meta_learning/Gen/Source_29_SDXL,619.png,QF40,[0.9986651  0.00133494]
22,/data3/test_meta_learning/Gen/Source_29_SDXL,567.png,QF40,[0.9841853  0.01581471]
23,/data3/test_meta_learning/Gen/Source_29_SDXL,21.png,QF40,[0.923268   0.07673196]
